model,mlir_baseline,pytorch_eager,pytorch_jit,mlir_rl_v0,mlir_rl_v45,v0_speedup,v45_speedup,count,v0_speedup_calc,v45_speedup_calc,pytorch_eager_speedup,pytorch_jit_speedup
Bench 2037,1245048955.0,31977.0,38869.0,556909461.0,5941246635.0,2.2356,0.2096,1,2.235639798189746,0.20956022052095805,38935.76492478969,32031.926599603798
Bench 2042,894751503.0,651185930.0,651480659.0,450698194.0,4197246753.0,1.9853,0.2132,1,1.9852564641073311,0.21317581635162922,1.3740338385382498,1.3734122274227023
Bench 2069,6090676962.0,70869.0,79713.0,1873948030.0,27299691293.0,3.2502,0.2231,1,3.250184564616768,0.22310424307111962,85942.75299496253,76407.57419743329
Bench 2076,1572964.0,212353.0,237746.0,23834790.0,2201915.0,0.066,0.7144,1,0.06599445600317855,0.71436181687304,7.407307643405085,6.616153373768644
Bench 2077,926939384.0,387044635.0,387109206.0,957967343.0,1581581821.0,0.9676,0.5861,1,0.9676106297080734,0.5860837369854923,2.394915986886112,2.3945165075717676
Bench 2088,107202237.0,175646436.0,176318674.0,106077456.0,528727059.0,1.0106,0.2028,1,1.010603393429797,0.2027553445113162,0.6103297023345239,0.6080027405378514
Bench 2103,2976643516.0,68439155.0,68126276.0,179392568.0,6351891687.0,16.5929,0.4686,1,16.592903202099208,0.4686231539640547,43.49328269760198,43.69303139364318
Bench 2106,1518077055.0,252331959.0,252789843.0,296921457.0,4419651323.0,5.1127,0.3435,1,5.112722638296901,0.34348344338836884,6.016190184613119,6.005292922310965
Bench 2112,612139713.0,1142276.0,1149672.0,261847006.0,1977563156.0,2.3378,0.3095,1,2.3377762547340337,0.30954243415323823,535.8947513560646,532.4472658288624
Bench 2134,259589771.0,43292.0,51806.0,134230624.0,385256924.0,1.9339,0.6738,1,1.933908695827861,0.6738094887556129,5996.252679478887,5010.805138400958
Bench 2148,34583027.0,22178.0,31271.0,38816894.0,43239587.0,0.8909,0.7998,1,0.8909272081377763,0.7998001229752726,1559.3393002074129,1105.9136900003198
Bench 2150,23403941.0,5604244.0,5615185.0,44387219.0,28511930.0,0.5273,0.8208,1,0.5272675677203386,0.8208473084775391,4.176110283563671,4.167973272474549
Bench 2160,45674811.0,6948468.0,6951507.0,154098599.0,64927813.0,0.2964,0.7035,1,0.2963999108129465,0.7034706528618174,6.5733642293524275,6.570490542554298
Bench 2183,2291298984.0,35434.0,43969.0,1140715112.0,11728779920.0,2.0087,0.1954,1,2.0086513800827075,0.19535697656777246,64663.85347406446,52111.691964793376
Bench 2185,12996046.0,774483.0,780031.0,39873761.0,10725141.0,0.3259,1.2117,1,0.3259297762255233,1.2117366102692728,16.780285687355306,16.6609352705213
Bench 2191,2613035712.0,18331765.0,18361570.0,376524777.0,12483890002.0,6.9399,0.2093,1,6.939877191667522,0.20931261902991574,142.54141442463396,142.31003732251654
Bench 2224,13394718.0,1075760.0,1082747.0,70833846.0,30494802.0,0.1891,0.4392,1,0.18910053253355746,0.43924594099676395,12.451399940507176,12.3710506701935
Bench 2226,2470670.0,56200.0,65355.0,24346783.0,5445066.0,0.1015,0.4537,1,0.10147829386740745,0.4537447296322946,43.962099644128116,37.80384056307857
Bench 2229,1995753942.0,11939536.0,11931245.0,197149560.0,3949084109.0,10.123,0.5054,1,10.123045377326736,0.5053713435608165,167.15506716508915,167.27122291093679
Bench 2260,4505784821.0,5962140.0,5973145.0,1818182092.0,18032950613.0,2.4782,0.2499,1,2.4781812783358994,0.24986398053748166,755.7328108699226,754.3404389145082
Bench 2261,9646927.0,53153.0,61797.0,61164054.0,25564180.0,0.1577,0.3774,1,0.15772216472112852,0.3773610966594665,181.49355633736573,156.1067203909575
Bench 2262,564959999.0,54750392.0,55100978.0,202222681.0,488132738.0,2.7938,1.1574,1,2.793751898680445,1.1573901011326964,10.318830210384613,10.253175524398133
Bench 2271,1723592802.0,11655888.0,11648290.0,258041682.0,3386548176.0,6.6795,0.509,1,6.679513126100302,0.508952689412442,147.8731437707706,147.96959914287848
Bench 2275,19255050.0,3093921.0,3100960.0,71371599.0,39467233.0,0.2698,0.4879,1,0.2697858849988775,0.4878743336275943,6.2235105550529575,6.209383545740674
Bench 2287,147508426.0,763994.0,745852.0,64558906.0,188603575.0,2.2849,0.7821,1,2.284865638832232,0.7821083242987308,193.0753723196779,197.77171074154123
Bench 229,6668554.0,15353.0,24505.0,52974233.0,15224561.0,0.1259,0.438,1,0.12588297408666588,0.438012892457129,434.3485963655312,272.1303407467864
Bench 2315,642617802.0,24855335.0,24870566.0,1440229115.0,2555095053.0,0.4462,0.2515,1,0.4461913700446196,0.2515044601747738,25.854320692117003,25.83848723024639
Bench 2318,194109.0,121930.0,131778.0,33282079.0,320002.0,0.0058,0.6066,1,0.005832237823845079,0.6065868338322885,1.591970802919708,1.4730000455311205
Bench 232,11450563.0,3673713.0,3699480.0,42821160.0,33823766.0,0.2674,0.3385,1,0.26740431599704445,0.33853601636198644,3.1168910037338247,3.095181755273714
Bench 2344,918936295.0,52415.0,60854.0,291604503.0,1734550522.0,3.1513,0.5298,1,3.151310372597367,0.5297835279772842,17531.93351139941,15100.672018273244
Bench 2352,659878.0,419173.0,428049.0,31049685.0,1585561.0,0.0213,0.4162,1,0.021252325104103312,0.4161795099652426,1.5742378445176575,1.5415945370740265
Bench 2375,12469126.0,15898.0,26049.0,40122082.0,18414982.0,0.3108,0.6771,1,0.3107796350149526,0.6771185548810202,784.3204176625991,478.67964221275287
Bench 2378,1400768.0,111156.0,116669.0,36101787.0,1262779.0,0.0388,1.1093,1,0.038800516993798675,1.1092740693343808,12.601820864370794,12.006342730288251
