benchmark,model,mlir_baseline,v0_exec_time,v0_speedup,v45_exec_time,v45_speedup,v45_vs_v0_ratio,pytorch_eager,pytorch_jit
bench_6287,bench,741272,27455183.0,0.027,2428436.0,0.3052,11.3057,2412820,2422604
bench_6300,bench,8776453,46131010.0,0.1903,9947587.0,0.8823,4.6374,2867554,2857887
bench_6304,bench,803981,42887639.0,0.0187,1633531.0,0.4922,26.2546,18967,28746
bench_6352,bench,18309115,60761602.0,0.3013,38256168.0,0.4786,1.5883,12212584,12218366
bench_6401,bench,1146162,30623993.0,0.0374,1517510.0,0.7553,20.1804,121323,125350
bench_643,bench,2660502,46046200.0,0.0578,8195736.0,0.3246,5.6183,2560444,2567219
bench_651,bench,38868909,238752431.0,0.1628,112516090.0,0.3455,2.1219,1450634,1449577
bench_6558,bench,903260,108711783.0,0.0083,1112618.0,0.8118,97.7081,15833,24961
bench_6580,bench,24824760,56256834.0,0.4413,43666036.0,0.5685,1.2883,6825575,6837092
bench_6629,bench,4976935,36606790.0,0.136,7607541.0,0.6542,4.8119,3042501,3074973
bench_6697,bench,20954610,68792942.0,0.3046,59963356.0,0.3495,1.1472,12049281,12036200
bench_67,bench,40835770,236494447.0,0.1727,102170810.0,0.3997,2.3147,4190313,4215728
bench_6717,bench,368289,28650061.0,0.0129,480373.0,0.7667,59.6413,22440,26996
bench_6730,bench,9913585,28181688.0,0.3518,8664789.0,1.1441,3.2524,54344,62133
bench_6785,bench,9114283,46205080.0,0.1973,15728877.0,0.5795,2.9376,206010,222010
bench_6810,bench,24128056,32747916.0,0.7368,23559789.0,1.0241,1.39,9748585,9762987
bench_6836,bench,2319401,106678511.0,0.0217,5523767.0,0.4199,19.3126,22982,31819
bench_6868,bench,14325153,97485663.0,0.1469,32794122.0,0.4368,2.9727,44304,52353
bench_6893,bench,16795596,106251378.0,0.1581,63422798.0,0.2648,1.6753,89341,96264
bench_6897,bench,134590,42813559.0,0.0031,395113.0,0.3406,108.3578,6474,13753
bench_6940,bench,32850342,98853441.0,0.3323,36809548.0,0.8924,2.6855,111250,119577
bench_6970,bench,7754370,47316837.0,0.1639,11514678.0,0.6734,4.1093,1615645,1621071
bench_6973,bench,122927231,721787859.0,0.1703,414285307.0,0.2967,1.7422,62650895,62719561
bench_7,bench,13753858,29481436.0,0.4665,17173706.0,0.8009,1.7167,98087,105462
bench_7018,bench,8039142,37619517.0,0.2137,10642942.0,0.7553,3.5347,3886075,3874686
bench_7036,bench,2484834,24194372.0,0.1027,2245495.0,1.1066,10.7746,30428,39123
bench_7046,bench,5167941,27640584.0,0.187,14107575.0,0.3663,1.9593,1305536,1306963
bench_707,bench,283358758,322028824.0,0.8799,250049568.0,1.1332,1.2879,81739859,82273665
bench_7087,bench,7016844,97302962.0,0.0721,15796607.0,0.4442,6.1597,35571,43349
bench_7088,bench,1890188,21018152.0,0.0899,3520344.0,0.5369,5.9705,129318,134215
bench_7095,bench,25623275,95730342.0,0.2677,39169894.0,0.6542,2.444,2147151,2153265
bench_7103,bench,26516473,56103193.0,0.4726,19424091.0,1.3651,2.8883,9722148,9777018
bench_716,bench,5019395,74874361.0,0.067,13075419.0,0.3839,5.7263,34891,43279
bench_7178,bench,248781368,884485171.0,0.2813,776866323.0,0.3202,1.1385,14529842,14542358
bench_7199,bench,5779612,56861787.0,0.1016,4505351.0,1.2828,12.6209,156962,180813
bench_726,bench,188334,28879746.0,0.0065,430293.0,0.4377,67.1165,16943,25172
bench_7270,bench,1739199,93983024.0,0.0185,4009758.0,0.4337,23.4386,20106,28853
bench_7299,bench,3426439,50681260.0,0.0676,7210539.0,0.4752,7.0288,2268096,2276505
bench_7303,bench,37621229,65742271.0,0.5723,43198872.0,0.8709,1.5219,12866057,12876430
bench_739,bench,2259577,123929267.0,0.0182,9244593.0,0.2444,13.4056,31552,38884
bench_7393,bench,14407636,38500295.0,0.3742,22830955.0,0.6311,1.6863,1738653,1745338
bench_7402,bench,20737653,64326053.0,0.3224,42501097.0,0.4879,1.5135,21907,31622
bench_7425,bench,264251,28916276.0,0.0091,437433.0,0.6041,66.1045,311606,320471
bench_7443,bench,6773520,41701204.0,0.1624,7336840.0,0.9232,5.6838,216530,220105
bench_7512,bench,6077691,44003418.0,0.1381,3149982.0,1.9294,13.9694,225356,231783
bench_7517,bench,3819499,27316147.0,0.1398,3383883.0,1.1287,8.0724,153512,156973
bench_756,bench,871545,13773924.0,0.0633,457993.0,1.903,30.0745,215339,224356
bench_7564,bench,1026566,43103743.0,0.0238,1899503.0,0.5404,22.6921,154776,158908
bench_7580,bench,18638648,50607799.0,0.3683,29629420.0,0.6291,1.708,10218831,10232317
bench_7582,bench,7574106,40155205.0,0.1886,9496424.0,0.7976,4.2285,98976,116343
bench_7590,bench,14881648,42849781.0,0.3473,11891181.0,1.2515,3.6035,112834,120918
bench_7592,bench,77861653,116820464.0,0.6665,100865041.0,0.7719,1.1582,51342203,52481677
bench_7694,bench,1336583,15910208.0,0.084,2033904.0,0.6572,7.8225,377622,382860
bench_7716,bench,1425728,26468362.0,0.0539,719985.0,1.9802,36.7624,1718179,1748396
bench_7766,bench,40107143,238517476.0,0.1682,91601527.0,0.4378,2.6039,32878052,32910727
bench_783,bench,32041047,103904135.0,0.3084,40602264.0,0.7891,2.5591,2396366,2444641
bench_802,bench,15723852,51417563.0,0.3058,23123196.0,0.68,2.2236,19734313,20062773
bench_815,bench,48662627,86518468.0,0.5625,50034537.0,0.9726,1.7292,35508957,35498485
bench_823,bench,14207656,65144158.0,0.2181,22208700.0,0.6397,2.9333,882267,888069
bench_865,bench,93768474,503684485.0,0.1862,162980246.0,0.5753,3.0905,37079275,37095180
bench_89,bench,1871912,36000410.0,0.052,3511203.0,0.5331,10.253,214493,221302
bench_910,bench,4555405,66728177.0,0.0683,5693778.0,0.8001,11.7195,31988,39850
bench_929,bench,1881773,40432007.0,0.0465,5436557.0,0.3461,7.4371,35257,43238
bench_994,bench,5521178,79183807.0,0.0697,7652972.0,0.7214,10.3468,2717572,2702159
bench_995,bench,126358964,535219809.0,0.2361,129312150.0,0.9772,4.139,26219715,26231571
bert_batch_matmul_2,bert,27931,17807613.0,0.0016,107661.0,0.2594,165.4045,11398,17394
bert_block_1,bert,33265,21341.0,1.5587,19800.0,1.6801,1.0778,4692,9093
bert_block_10,bert,23210873,12470993.0,1.8612,5142517.0,4.5135,2.4251,4550,9256
bert_block_1004,bert,21698,21810.0,0.9949,18050.0,1.2021,1.2083,6754,11986
bert_block_1012,bert,23300572,12220611.0,1.9067,5185807.0,4.4931,2.3565,18216,25241
bert_block_1013,bert,22836164,12831135.0,1.7797,5183317.0,4.4057,2.4755,18923,24515
bert_block_1018,bert,23503581,10366030.0,2.2674,5283739.0,4.4483,1.9619,18512,24377
bert_block_102,bert,23311100,13168967.0,1.7702,5212028.0,4.4726,2.5266,18387,24372
bert_block_1039,bert,23268247,17722354.0,1.3129,5240379.0,4.4402,3.3819,3662,17576
bert_block_1040,bert,23687139,16368366.0,1.4471,8393252.0,2.8222,1.9502,56883,64731
bert_block_1046,bert,33165,37500.0,0.8844,33460.0,0.9912,1.1207,6763,12015
bert_block_107,bert,23412149,6705480.0,3.4915,5172469.0,4.5263,1.2964,4463,8990
bert_block_1094,bert,16065,6540.0,2.4564,6500.0,2.4715,1.0062,1663,9170
bert_block_12,bert,23411068,9520646.0,2.459,5330369.0,4.392,1.7861,18235,24362
bert_block_132,bert,23391817,17417402.0,1.343,5190049.0,4.5071,3.3559,203330,209979
bert_block_133,bert,38271,38140.0,1.0034,37300.0,1.026,1.0225,7097,12141
bert_block_134,bert,52393,38551.0,1.3591,35210.0,1.488,1.0949,7989,12062
bert_block_138,bert,15470,6560.0,2.3582,6430.0,2.4059,1.0202,1657,9204
bert_block_14,bert,23654286,15386209.0,1.5374,5156247.0,4.5875,2.984,18526,24485
bert_block_141,bert,23588311,10827454.0,2.1786,5325079.0,4.4297,2.0333,204397,211971
bert_block_16,bert,23459402,18896281.0,1.2415,5156998.0,4.549,3.6642,5466,9040
bert_block_18,bert,23258694,11162916.0,2.0836,5318219.0,4.3734,2.099,18138,24152
bert_block_218,bert,23320561,15050768.0,1.5495,5145338.0,4.5324,2.9251,204344,211244
bert_block_262,bert,29136,28960.0,1.0061,23940.0,1.217,1.2097,6732,11759
bert_block_272,bert,33924,19870.0,1.7073,16380.0,2.0711,1.2131,4491,8636
bert_block_273,bert,33811,34990.0,0.9663,22231.0,1.5209,1.5739,6635,11763
bert_block_3,bert,31855,24591.0,1.2954,18161.0,1.754,1.3541,6580,11593
bert_block_301,bert,29214,29649222.0,0.001,28860.0,1.0123,1027.3466,7889,13041
bert_block_306,bert,23314457,7555005.0,3.086,5161418.0,4.5171,1.4637,3666,18762
bert_block_314,bert,23306584,14538265.0,1.6031,5143468.0,4.5313,2.8265,203994,211066
bert_block_320,bert,15463,6580.0,2.35,6330.0,2.4428,1.0395,1733,10081
bert_block_353,bert,28249,29360.0,0.9622,18140.0,1.5573,1.6185,6503,12640
bert_block_412,bert,25749,21081.0,1.2214,18000.0,1.4305,1.1712,6474,12803
bert_block_42,bert,35451,40041.0,0.8854,36000.0,0.9848,1.1122,6619,12915
bert_block_465,bert,23190695,19880086.0,1.1665,5181858.0,4.4754,3.8365,4575,8597
bert_block_470,bert,23791292,16055334.0,1.4818,5157288.0,4.6131,3.1131,18099,24368
bert_block_472,bert,23571546,13841032.0,1.703,5189418.0,4.5422,2.6672,18120,24190
bert_block_473,bert,23426996,13156067.0,1.7807,5211078.0,4.4956,2.5246,18490,24793
bert_block_491,bert,23314535,16788999.0,1.3887,5133577.0,4.5416,3.2704,202246,208772
bert_block_5,bert,21290,16870.0,1.262,13270.0,1.6044,1.2713,6563,11668
bert_block_543,bert,36171,40970.0,0.8829,35520.0,1.0183,1.1534,6662,11880
bert_block_574,bert,27528,27046539.0,0.001,29940.0,0.9194,903.358,7720,12822
bert_block_578,bert,33052,34315.0,0.9632,25550.0,1.2936,1.3431,6483,11658
bert_block_581,bert,29554,29241.0,1.0107,18920.0,1.5621,1.5455,6600,11657
