benchmark,model,mlir_baseline,v0_exec_time,v0_speedup,v45_exec_time,v45_speedup,v45_vs_v0_ratio,pytorch_eager,pytorch_jit
bart_block_130,bart,23213649,20897843.0,1.1108,5139799.0,4.5165,4.0659,3521,17966
bert_block_465,bert,23190695,19880086.0,1.1665,5181858.0,4.4754,3.8365,4575,8597
distilbert_block_287,distilbert,23603602,18983062.0,1.2434,5326458.0,4.4314,3.5639,4636,8753
albert_block_755,albert,20542150,17834915.0,1.1518,5166099.0,3.9763,3.4523,17998,24524
t5_block_270,t5,10419016,9901796.0,1.0522,4340230.0,2.4006,2.2814,89908,95514
bench_461,bench,14830180290,5689019941.0,2.6068,5069978064.0,2.9251,1.1221,193964399,195381215
llama3_2_1b_generic_3,llama3_2_1b,41088,37490.0,1.096,33990.0,1.2088,1.103,9569,16258
gpt2_block_77,gpt2,23610,19070.0,1.2381,17329.0,1.3625,1.1005,1770,9348
