checkpoint,average_speedup
100,0.2523
200,0.2219
300,0.2488
400,0.2176
500,0.2855
600,0.2154
700,0.5368
800,0.4560
900,0.4381
1000,0.2672
1100,0.2528
1200,0.3732
1300,0.3795
1400,0.4143
1500,0.3027
1600,0.2645
1700,0.3112
1800,0.2968
1900,0.4059
2000,0.5114
2100,0.2576
2200,0.3214
2300,0.2958
2400,0.2557
2500,0.2194
2600,0.5158
2700,0.7681
2800,0.3910
2900,0.4995
3000,0.6128
3100,0.4667
3200,0.5161
3300,0.7887
3400,0.8428
3500,0.8954
3600,0.4718
3700,0.3472
3800,0.4523
3900,0.2923
4000,0.3312
4100,0.3060
4200,0.2873
4300,0.2964
4400,0.3034
4500,0.2961
4600,0.3044
4700,0.2992
4750,0.2938
4800,0.2889
4850,0.2926
4900,0.2520
4950,0.2356
5000,0.2484
