agent_version,checkpoint,speedup
paper_tf_small,4200,2.9515
paper_tf_small,4300,1.8571
paper_tf_small,4400,1.8291
paper_tf_small,4500,2.3763
paper_tf_small,4600,2.1697
paper_tf_small,4700,3.1977
paper_tf_small,4800,2.4526
paper_tf_small,4900,2.8217
paper_tf_small,5000,2.0260
paper_tf_small,5100,2.4436
paper_tf_small,5200,2.8385
paper_tf_small,5300,1.0936
paper_tf_small,5400,2.8454
paper_tf_small,5500,2.3739
paper_tf_small,5600,0.2770
paper_tf_small,5700,2.7511
paper_tf_small,5800,2.1333
paper_tf_small,5900,2.0430
paper_tf_small,6000,0.5612
paper_tf_small,6100,0.5151
paper_tf_small,6200,1.5655
paper_tf_small,6300,0.6661
paper_tf_small,6400,1.9909
paper_tf_small,6500,0.6501
paper_tf_small,6600,1.9241
paper_tf_small,6700,2.4234
paper_tf_small,6800,2.1578
paper_tf_small,6900,2.4536
paper_tf_small,7000,2.0524
paper_tf_small,7100,2.4626
paper_tf_small,7200,2.2671
paper_tf_small,7300,2.2034
paper_tf_small,7400,2.6248
paper_tf_small,7500,2.7463
paper_tf_small,7600,2.5501
paper_tf_small,7700,2.5805
paper_tf_small,7800,2.8998
paper_tf_small,7900,3.2503
paper_tf_small,8000,2.8435
paper_tf_small,8100,2.9547
paper_tf_small,8200,2.3171
paper_tf_small,8300,2.1223
paper_tf_small,8400,2.9727
paper_tf_small,8500,2.3346
paper_tf_small,8600,2.6158
paper_tf_small,8700,2.7433
paper_tf_small,8800,2.8773
paper_tf_small,8900,2.7472
paper_tf_small,9000,3.0113
paper_tf_small,9100,2.7118
paper_tf_small,9200,2.9819
paper_tf_small,9300,3.0243
paper_tf_small,9400,3.0004
paper_tf_small,9500,2.8578
paper_tf_small,9600,2.9564
paper_tf_small,9700,2.6009
paper_tf_small,9800,2.8413
paper_tf_small,9900,3.1894
paper_tf_small,10000,1.6806
paper_tf_small,10100,2.3386
paper_tf_small,10200,2.6907
paper_tf_small,10300,2.7502
paper_tf_small,10400,2.9441
paper_tf_small,10500,2.8532
paper_tf_small,10600,2.9100
paper_tf_small,10700,2.9517
paper_tf_small,10800,2.9682
paper_tf_small,10900,2.7491
paper_tf_small,11000,2.9958
paper_tf_small,11100,2.8647
paper_tf_small,11200,3.0034
paper_tf_small,11300,3.3322
paper_tf_small,11400,2.8191
paper_tf_small,11500,2.5873
paper_tf_small,11600,2.5478
paper_tf_small,11700,2.9587
paper_tf_small,11800,1.1312
paper_tf_small,11900,2.0644
paper_tf_small,12000,3.0573
paper_tf_small,12100,3.0448
paper_tf_small,12200,2.7696
paper_tf_small,12300,2.7539
paper_tf_small,12400,3.0000
paper_tf_small,12500,2.6328
paper_tf_small,12600,3.1808
paper_tf_small,12700,3.1985
paper_tf_small,12800,2.9376
paper_tf_small,12900,2.5571
paper_tf_small,13000,2.8904
paper_tf_small,13100,3.2776
paper_tf_small,13200,3.1278
paper_tf_small,13300,3.0077
paper_tf_small,13400,3.0889
paper_tf_small,13500,2.6745
paper_tf_small,13600,2.9892
paper_tf_small,13700,3.0345
paper_tf_small,13800,2.7033
paper_tf_small,13900,3.1236
paper_tf_small,14000,2.7602
paper_tf_small,14100,2.7974
paper_tf_small,14200,2.9901
paper_tf_small,14300,2.9587
paper_tf_small,14400,3.2452
paper_tf_small,14500,3.5207
paper_tf_small,14600,3.5749
paper_tf_small,14700,3.4310
paper_tf_small,14800,3.1898
paper_tf_small,14900,2.9126
paper_tf_small,15000,2.5807
paper_tf_small,15100,2.9662
paper_tf_small,15200,2.7136
paper_tf_small,15300,2.7277
paper_tf_small,15400,3.0918
paper_tf_small,15500,2.0935
paper_tf_small,15600,3.2773
paper_tf_small,15700,3.2474
paper_tf_small,15800,3.3210
paper_tf_small,15900,1.9012
paper_tf_small,16000,1.9859
paper_tf_small,16100,2.1152
paper_tf_small,16200,2.1781
paper_tf_small,16300,2.1961
paper_tf_small,16400,2.1156
paper_tf_small,16500,2.1303
paper_tf_small,16600,2.0671
paper_tf_small,16700,2.1680
paper_tf_small,16800,2.1961
paper_tf_small,16900,2.1342
paper_tf_small,17000,1.8471
paper_tf_large,100,1.9307
paper_tf_large,200,0.8406
paper_tf_large,300,1.7332
paper_tf_large,400,1.6539
paper_tf_large,500,0.6598
paper_tf_large,600,2.4088
paper_tf_large,700,2.2779
paper_tf_large,800,1.7999
paper_tf_large,900,2.1432
paper_tf_large,1000,1.9746
paper_tf_large,1100,0.4823
paper_tf_large,1200,2.7651
paper_tf_large,1300,1.9979
paper_tf_large,1400,2.1419
paper_tf_large,1500,2.4838
paper_tf_large,1600,2.3554
paper_tf_large,1700,2.2865
paper_tf_large,1800,1.6362
paper_tf_large,1900,1.3684
paper_tf_large,2000,2.2793
paper_tf_large,2100,2.1743
paper_tf_large,2200,2.3465
paper_tf_large,2300,2.3039
paper_tf_large,2400,2.4742
paper_tf_large,2500,2.2718
paper_tf_large,2600,2.3080
paper_tf_large,2700,2.4299
paper_tf_large,2800,1.8373
paper_tf_large,2900,1.7061
paper_tf_large,3000,1.7060
paper_tf_large,3100,2.0321
paper_tf_large,3200,2.0428
paper_tf_large,3300,2.3811
paper_tf_large,3400,2.3901
paper_tf_large,3500,2.1383
paper_tf_large,3600,2.2462
paper_tf_large,3700,2.2401
paper_tf_large,3800,2.2650
paper_tf_large,3900,2.2283
paper_tf_large,4000,2.2388
paper_tf_large,4100,2.3291
paper_tf_large,4200,2.3908
paper_tf_large,4300,2.4134
paper_tf_large,4400,2.4212
paper_tf_large,4500,2.3732
paper_tf_large,4600,2.2632
paper_tf_large,4700,2.2400
paper_tf_large,4800,2.2802
paper_tf_large,4900,2.2302
paper_tf_large,5000,2.2745
paper_tf_large,5100,2.2806
paper_tf_large,5200,2.3812
paper_tf_large,5300,2.3967
paper_tf_large,5400,2.3937
paper_tf_large,5500,2.2759
paper_tf_large,5600,2.3999
