benchmark_family,agent_version,speedup
add,paper_original,0.4592
conv_2d,paper_original,0.8846
matmul,paper_original,7.2048
pooling,paper_original,0.4046
relu,paper_original,0.3754
add,paper_tf_small,0.4431
conv_2d,paper_tf_small,2.2470
matmul,paper_tf_small,2.2111
pooling,paper_tf_small,0.4484
relu,paper_tf_small,0.3110
add,paper_tf_large,0.3284
conv_2d,paper_tf_large,3.8479
matmul,paper_tf_large,1.6261
pooling,paper_tf_large,0.1505
relu,paper_tf_large,0.3212
