checkpoint,average_speedup
100,0.2391
200,0.2479
300,0.2152
400,0.1979
500,0.2795
600,0.2104
700,0.2124
800,0.4626
900,0.4099
1000,0.5464
1100,1.0587
1200,0.5482
1300,0.5520
1400,0.5286
1500,0.5125
1600,0.4906
1700,0.7754
1800,0.5417
1900,0.5222
2000,0.5163
2100,0.5342
2200,0.5146
2300,0.5226
2400,0.3955
2500,0.3407
2600,0.3242
2700,0.3521
2800,0.3458
2900,0.3969
3000,0.3969
3100,0.3955
3200,0.3894
3300,0.3898
3400,0.3893
3500,0.3600
3600,0.3401
